Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,champs
1980,Sixers,1,0,0,240,40,90,0.444,0,2,0.0,22,28,0.786,14,26,40,28,12,13,14,17,102,0
1980,Sixers,2,1,0,240,43,85,0.506,0,1,0.0,21,27,0.778,5,29,34,34,14,11,20,21,107,0
1980,Sixers,3,0,1,240,45,93,0.484,1,4,0.25,10,17,0.588,13,24,37,34,12,8,13,25,101,0
1980,Sixers,5,0,0,240,42,94,0.447,0,3,0.0,19,24,0.792,13,29,42,32,9,7,12,25,103,0
1980,Sixers,6,0,1,240,47,89,0.528,0,6,0.0,13,22,0.591,7,29,36,27,4,11,18,27,107,0
1981,Rockets,1,0,0,240,42,99,0.424,0,2,0.0,11,14,0.786,19,23,42,23,15,3,10,20,95,0
1981,Rockets,2,1,0,240,34,85,0.4,2,2,1.0,22,32,0.688,13,22,35,16,6,8,9,17,92,0
1981,Rockets,3,0,1,240,24,79,0.304,0,1,0.0,23,31,0.742,19,29,48,10,6,10,21,19,71,0
1981,Rockets,4,1,1,240,37,103,0.359,1,3,0.333,16,22,0.727,28,21,49,22,8,2,10,20,91,0
1981,Rockets,5,0,0,240,30,84,0.357,0,1,0.0,20,33,0.606,15,26,41,15,8,9,17,24,80,0
1981,Rockets,6,0,1,240,36,86,0.419,0,2,0.0,19,23,0.826,18,23,41,22,4,2,12,21,91,0
1982,Sixers,1,0,1,240,48,98,0.49,3,6,0.5,18,23,0.783,18,23,41,28,11,7,18,26,117,0
1982,Sixers,2,1,0,240,49,93,0.527,0,2,0.0,12,21,0.571,20,32,52,28,4,9,21,30,110,0
1982,Sixers,3,0,0,240,39,88,0.443,1,1,1.0,29,40,0.725,14,29,43,25,10,8,19,36,108,0
1982,Sixers,4,0,0,240,44,91,0.484,0,3,0.0,13,20,0.65,11,29,40,32,3,7,16,23,101,0
1982,Sixers,6,0,0,240,41,91,0.451,0,2,0.0,22,29,0.759,14,21,35,22,11,7,15,26,104,0
1983,Lakers,1,0,0,240,44,96,0.458,0,2,0.0,19,26,0.731,16,31,47,20,7,8,15,29,107,0
1983,Lakers,2,0,0,240,44,91,0.484,2,7,0.286,3,5,0.6,14,26,40,26,10,10,20,29,93,0
1983,Lakers,3,0,1,240,34,82,0.415,0,3,0.0,26,31,0.839,15,26,41,26,12,8,25,31,94,0
1983,Lakers,4,0,1,240,41,92,0.446,1,3,0.333,25,31,0.806,16,27,43,26,7,3,20,31,108,0
1984,Lakers,1,0,1,240,43,83,0.518,1,2,0.5,28,32,0.875,12,30,42,25,10,4,16,30,115,0
1984,Lakers,2,0,0,265,48,84,0.571,0,2,0.0,25,35,0.714,9,32,41,27,8,7,25,33,121,0
1984,Lakers,3,1,1,240,53,103,0.515,0,1,0.0,31,44,0.705,22,41,63,36,7,6,10,27,137,0
1984,Lakers,5,0,0,240,39,91,0.429,2,3,0.667,23,35,0.657,13,24,37,20,8,8,14,29,103,0
1984,Lakers,6,1,1,240,53,105,0.505,1,2,0.5,12,17,0.706,19,25,44,31,9,3,14,28,119,0
1984,Lakers,7,0,0,240,41,84,0.488,2,8,0.25,18,28,0.643,9,24,33,28,9,8,17,32,102,0
1985,Celtics,1,1,1,240,62,102,0.608,7,9,0.778,17,25,0.68,13,35,48,43,10,3,13,17,148,0
1985,Celtics,2,0,1,240,37,82,0.451,1,6,0.167,27,36,0.75,3,34,37,22,8,4,17,20,102,0
1985,Celtics,3,0,0,240,40,93,0.43,1,3,0.333,30,36,0.833,14,23,37,30,7,4,15,26,111,0
1985,Celtics,4,1,0,240,41,86,0.477,0,1,0.0,25,32,0.781,11,33,44,30,10,8,13,22,107,0
1985,Celtics,5,0,0,240,46,93,0.495,3,8,0.375,16,21,0.762,12,27,39,36,6,7,13,21,111,0
1985,Celtics,6,0,1,240,37,96,0.385,1,7,0.143,25,32,0.781,21,33,54,24,11,4,13,27,100,0
1986,Rockets,1,0,0,240,45,95,0.474,1,2,0.5,9,16,0.563,14,26,40,27,11,7,16,19,100,0
1986,Rockets,2,0,0,240,38,92,0.413,1,3,0.333,18,27,0.667,19,25,44,27,9,4,13,24,95,0
1986,Rockets,3,1,1,240,38,81,0.469,1,2,0.5,29,39,0.744,13,30,43,28,9,7,17,23,106,0
1986,Rockets,4,0,1,240,43,99,0.434,0,3,0.0,17,20,0.85,25,21,46,28,6,6,9,18,103,0
1986,Rockets,5,1,1,240,49,101,0.485,1,2,0.5,12,18,0.667,23,33,56,34,9,13,14,23,111,0
1986,Rockets,6,0,0,240,38,89,0.427,1,5,0.2,20,28,0.714,17,27,44,21,10,3,17,26,97,0
1987,Celtics,1,0,0,240,45,82,0.549,3,4,0.75,20,26,0.769,5,27,32,28,4,5,15,19,113,0
1987,Celtics,2,0,0,240,51,93,0.548,1,7,0.143,19,29,0.655,15,28,43,35,5,6,14,21,122,0
1987,Celtics,3,1,1,40,42,86,0.488,1,5,0.2,24,29,0.828,17,31,48,24,4,4,13,21,109,0
1987,Celtics,4,0,1,240,45,86,0.523,3,11,0.273,13,16,0.813,9,28,37,26,5,8,12,21,106,0
1987,Celtics,5,1,1,240,46,89,0.517,6,10,0.6,25,31,0.806,13,33,46,33,6,3,10,21,123,0
1987,Celtics,6,0,0,240,33,81,0.407,0,5,0.0,27,31,0.871,13,29,42,21,6,7,18,25,93,0
1988,Pistons,1,1,0,240,42,73,0.575,4,7,0.571,17,22,0.773,6,28,34,29,4,6,9,26,105,0
1988,Pistons,2,0,0,240,37,85,0.435,0,5,0.0,22,33,0.667,15,35,50,22,3,5,13,27,96,0
1988,Pistons,3,0,1,240,38,91,0.418,0,3,0.0,10,12,0.833,16,32,48,18,6,6,11,23,86,0
1988,Pistons,4,1,1,240,37,78,0.474,1,3,0.333,36,46,0.783,13,35,48,22,6,7,12,30,111,0
1988,Pistons,5,1,1,240,38,76,0.5,0,1,0.0,28,33,0.848,20,33,53,20,5,5,14,29,104,0
1988,Pistons,6,0,0,240,39,79,0.494,2,5,0.4,22,27,0.815,10,23,33,30,11,3,12,29,102,0
1988,Pistons,7,0,0,240,39,85,0.459,2,7,0.286,25,35,0.714,15,24,39,22,13,2,11,23,105,0
1989,Lakers,1,0,0,240,35,75,0.467,1,6,0.167,26,38,0.684,8,24,32,21,9,2,12,28,97,0
1989,Lakers,2,0,0,240,35,77,0.455,6,15,0.4,29,34,0.853,15,21,36,21,3,3,14,22,105,0
1989,Lakers,3,0,1,240,39,79,0.494,3,11,0.273,29,39,0.744,14,23,37,27,7,5,14,24,110,0
1989,Lakers,4,0,1,240,35,79,0.443,3,11,0.273,24,33,0.727,10,30,40,23,3,6,7,30,97,0
1990,Blazers,1,0,0,240,39,85,0.459,3,11,0.273,18,28,0.643,8,38,46,22,7,4,16,35,99,0
1990,Blazers,2,1,0,265,36,81,0.444,1,6,0.167,33,41,0.805,9,29,38,17,9,3,11,26,106,0
1990,Blazers,3,0,1,240,39,93,0.419,2,13,0.154,26,31,0.839,18,24,42,22,7,1,20,38,106,0
1990,Blazers,4,0,1,240,40,73,0.548,0,5,0.0,29,39,0.744,8,28,36,22,5,5,18,25,109,0
1990,Blazers,5,0,1,240,33,78,0.423,5,12,0.417,19,30,0.633,14,26,40,20,8,4,17,25,90,0
1991,Lakers,1,1,0,240,30,66,0.455,5,10,0.5,28,34,0.824,6,31,37,15,7,3,13,16,93,0
1991,Lakers,2,0,0,240,30,73,0.411,5,12,0.417,21,22,0.955,14,20,34,19,8,2,17,15,86,0
1991,Lakers,3,0,1,265,40,79,0.506,0,8,0.0,16,25,0.64,9,20,29,19,9,7,14,20,96,0
1991,Lakers,4,0,1,240,30,82,0.366,0,5,0.0,22,26,0.846,18,24,42,14,4,3,9,23,82,0
1991,Lakers,5,0,1,240,37,74,0.5,3,11,0.273,24,30,0.8,12,24,36,29,6,7,22,22,101,0
1992,Blazers,1,0,0,240,35,78,0.449,1,6,0.167,18,23,0.783,11,27,38,16,7,4,21,26,89,0
1992,Blazers,2,1,0,265,42,84,0.5,1,12,0.083,30,38,0.789,10,32,42,27,7,3,9,26,115,0
1992,Blazers,3,0,1,240,28,78,0.359,3,11,0.273,25,32,0.781,13,30,43,12,6,2,20,26,84,0
1992,Blazers,4,1,1,240,37,81,0.457,2,9,0.222,17,27,0.63,15,30,45,28,11,6,13,19,93,0
1992,Blazers,5,0,1,240,35,80,0.438,1,7,0.143,35,44,0.795,20,25,45,21,5,3,18,34,106,0
1992,Blazers,6,0,0,240,35,78,0.449,2,7,0.286,21,21,1.0,13,25,38,21,11,5,21,24,93,0
1993,Suns,1,0,1,240,40,90,0.444,2,7,0.286,10,15,0.667,17,25,42,18,6,10,13,19,92,0
1993,Suns,2,0,1,240,43,88,0.489,6,13,0.462,16,20,0.8,14,26,40,28,9,12,17,23,108,0
1993,Suns,3,1,0,315,49,99,0.495,9,13,0.692,22,31,0.71,15,37,52,25,9,8,19,26,129,0
1993,Suns,4,0,0,240,38,79,0.481,3,8,0.375,26,33,0.788,8,26,34,20,6,3,10,28,105,0
1993,Suns,5,1,0,240,42,83,0.506,3,10,0.3,21,26,0.808,14,31,45,24,6,4,11,16,108,0
1993,Suns,6,0,1,240,32,82,0.39,4,11,0.364,30,36,0.833,18,29,47,20,5,9,9,21,98,0
1994,Knicks,1,0,0,240,31,91,0.341,4,15,0.267,12,19,0.632,13,32,45,23,10,4,13,24,78,0
1994,Knicks,2,1,0,240,36,69,0.522,7,11,0.636,12,15,0.8,9,30,39,28,10,10,19,22,91,0
1994,Knicks,3,0,1,240,35,87,0.402,6,19,0.316,13,19,0.684,18,24,42,17,8,9,11,25,89,0
1994,Knicks,4,1,1,240,35,86,0.407,7,17,0.412,14,21,0.667,21,29,50,21,7,3,12,23,91,0
1994,Knicks,5,1,1,240,34,79,0.43,2,9,0.222,21,29,0.724,16,29,45,22,10,9,14,19,91,0
1994,Knicks,6,0,0,240,30,80,0.375,6,14,0.429,18,21,0.857,14,26,40,24,7,5,9,24,84,0
1994,Knicks,7,0,0,240,31,78,0.397,4,20,0.2,18,24,0.75,14,26,40,17,5,3,11,23,84,0
1995,Magic,1,0,1,265,48,103,0.466,9,30,0.3,13,20,0.65,16,41,57,32,7,6,18,22,118,0
1995,Magic,2,0,1,240,39,85,0.459,10,26,0.385,18,26,0.692,14,27,41,24,3,1,15,26,106,0
1995,Magic,3,0,0,240,38,81,0.469,8,31,0.258,19,25,0.76,7,34,41,30,4,6,12,23,103,0
1995,Magic,4,0,0,240,38,81,0.469,14,31,0.452,11,18,0.611,11,34,45,24,7,7,19,26,101,0
1996,Sonics,1,0,0,240,27,68,0.397,5,16,0.313,31,36,0.861,14,27,41,16,6,2,17,29,90,0
1996,Sonics,2,0,0,240,31,75,0.413,3,15,0.2,23,29,0.793,16,23,39,10,6,4,16,30,88,0
1996,Sonics,3,0,1,240,27,60,0.45,4,16,0.25,28,31,0.903,7,25,32,14,3,4,20,29,86,0
1996,Sonics,4,1,1,240,41,73,0.562,9,17,0.529,16,19,0.842,9,26,35,25,7,1,13,24,107,0
1996,Sonics,5,1,1,240,29,69,0.42,6,14,0.429,25,29,0.862,9,32,41,17,4,2,10,23,89,0
1996,Sonics,6,0,0,240,31,73,0.425,5,24,0.208,8,10,0.8,12,23,35,19,10,3,20,20,75,0
1997,Jazz,1,0,0,240,35,76,0.461,5,11,0.455,7,11,0.636,12,31,43,20,8,0,18,22,82,0
1997,Jazz,2,0,0,240,27,67,0.403,6,13,0.462,25,35,0.714,11,24,35,18,10,0,14,26,85,0
1997,Jazz,3,1,1,240,37,83,0.446,4,14,0.286,26,30,0.867,14,33,47,25,9,6,10,20,104,0
1997,Jazz,4,1,1,240,29,64,0.453,5,13,0.385,15,21,0.714,5,34,39,23,5,4,13,19,78,0
1997,Jazz,5,0,1,240,31,75,0.413,8,19,0.421,18,25,0.72,13,32,45,21,4,5,11,25,88,0
1997,Jazz,6,0,0,240,26,65,0.4,7,15,0.467,27,39,0.692,5,31,36,14,8,6,11,25,86,0
1998,Jazz,1,1,1,265,38,85,0.447,0,8,0.0,12,15,0.8,9,33,42,23,8,4,13,21,88,0
1998,Jazz,2,0,1,240,33,67,0.493,7,13,0.538,15,19,0.789,9,29,38,22,3,5,19,28,88,0
1998,Jazz,3,0,0,240,21,70,0.3,1,9,0.111,11,14,0.786,9,29,38,16,7,3,26,26,54,0
1998,Jazz,4,0,0,240,33,78,0.423,2,15,0.133,14,21,0.667,13,27,40,24,6,1,10,32,82,0
1998,Jazz,5,1,1,240,34,67,0.507,1,5,0.2,14,18,0.778,11,26,37,24,10,3,16,24,83,0
1998,Jazz,6,0,1,240,32,64,0.5,2,10,0.2,20,25,0.8,10,23,33,19,4,0,14,19,86,0
1999,Knicks,1,0,0,240,31,81,0.383,2,8,0.25,13,19,0.684,13,30,43,12,7,6,15,27,77,0
1999,Knicks,2,0,0,240,27,82,0.329,2,14,0.143,11,12,0.917,10,33,43,8,11,4,10,25,67,0
1999,Knicks,3,1,1,240,31,78,0.397,4,13,0.308,23,30,0.767,12,24,36,17,8,4,10,23,89,0
1999,Knicks,4,0,1,240,33,80,0.413,2,10,0.2,21,28,0.75,10,24,34,15,6,2,11,25,89,0
1999,Knicks,5,0,1,240,32,72,0.444,1,9,0.111,12,16,0.75,4,31,35,18,8,1,12,23,77,0
2000,Pacers,1,0,0,240,32,76,0.421,5,14,0.357,18,23,0.783,6,30,36,16,6,5,14,23,87,0
2000,Pacers,2,0,0,240,33,88,0.375,5,20,0.25,33,39,0.846,13,33,46,19,5,5,4,38,104,0
2000,Pacers,3,1,1,240,36,78,0.462,7,18,0.389,21,24,0.875,9,30,39,14,8,3,12,19,100,0
2000,Pacers,4,0,1,265,42,84,0.5,10,19,0.526,24,28,0.857,9,30,39,22,5,3,12,28,118,0
2000,Pacers,5,1,1,240,39,68,0.574,10,20,0.5,32,36,0.889,6,40,46,26,7,4,14,24,120,0
2000,Pacers,6,0,0,240,36,77,0.468,12,25,0.48,27,32,0.844,9,32,41,24,2,6,9,27,111,0
2001,Sixers,1,1,0,265,40,83,0.482,4,11,0.364,23,25,0.92,11,31,42,21,10,8,18,21,107,0
2001,Sixers,2,0,0,240,34,87,0.391,6,15,0.4,15,26,0.577,14,28,42,16,9,5,11,23,89,0
2001,Sixers,3,0,1,240,33,80,0.413,2,12,0.167,23,30,0.767,13,29,42,17,5,6,14,22,91,0
2001,Sixers,4,0,1,240,33,77,0.429,1,6,0.167,19,30,0.633,8,29,37,15,9,1,9,27,86,0
2001,Sixers,5,0,1,240,37,90,0.411,4,15,0.267,18,26,0.692,20,31,51,23,6,4,10,32,96,0
2002,Nets,1,0,0,240,37,94,0.394,5,16,0.313,15,26,0.577,21,24,45,19,9,4,11,29,94,0
2002,Nets,2,0,0,240,30,86,0.349,6,22,0.273,17,27,0.63,20,23,43,18,11,5,13,27,83,0
2002,Nets,3,0,1,240,43,83,0.518,3,12,0.25,14,19,0.737,5,22,27,22,13,5,13,27,103,0
2002,Nets,4,0,1,240,45,92,0.489,4,9,0.444,13,16,0.813,14,27,41,27,5,4,8,22,107,0
2003,Nets,1,0,0,240,33,89,0.371,4,13,0.308,19,25,0.76,13,32,45,19,5,5,8,26,89,0
2003,Nets,2,1,0,240,35,83,0.422,4,11,0.364,13,16,0.813,15,24,39,16,9,5,13,21,87,0
2003,Nets,3,0,1,240,30,81,0.37,4,13,0.308,15,17,0.882,14,27,41,17,13,5,18,26,79,0
2003,Nets,4,1,1,240,28,78,0.359,1,9,0.111,20,29,0.69,19,34,53,19,5,13,16,22,77,0
2003,Nets,5,0,1,240,26,74,0.351,4,16,0.25,27,34,0.794,17,25,42,15,7,5,16,25,83,0
2003,Nets,6,0,0,240,30,87,0.345,6,21,0.286,11,13,0.846,8,27,35,14,8,5,11,25,77,0
2004,Lakers,1,0,1,240,29,73,0.397,3,13,0.231,14,18,0.778,13,24,37,15,8,4,15,25,75,0
2004,Lakers,2,1,1,265,38,80,0.475,6,17,0.353,17,25,0.68,9,29,38,28,7,3,14,27,99,0
2004,Lakers,3,0,0,240,27,74,0.365,6,27,0.222,8,13,0.615,7,32,39,19,7,4,16,28,68,0
2004,Lakers,4,0,0,240,33,78,0.423,3,16,0.188,11,22,0.5,9,29,38,23,4,1,10,35,80,0
2004,Lakers,5,0,0,240,31,75,0.413,4,16,0.25,21,33,0.636,14,22,36,18,10,2,11,27,87,0
2005,Pistons,1,0,0,240,29,77,0.377,1,6,0.167,10,14,0.714,11,24,35,15,12,10,12,19,69,0
2005,Pistons,2,0,0,240,33,82,0.402,0,6,0.0,10,16,0.625,18,27,45,17,5,2,13,25,76,0
2005,Pistons,3,1,1,240,40,85,0.471,3,14,0.214,13,17,0.765,17,27,44,22,12,10,11,18,96,0
2005,Pistons,4,1,1,240,41,90,0.456,2,9,0.222,18,23,0.783,13,34,47,23,13,6,3,22,102,0
2005,Pistons,5,0,1,265,37,84,0.44,2,9,0.222,19,23,0.826,16,26,42,17,7,11,11,20,95,0
2005,Pistons,6,1,0,240,37,79,0.468,8,17,0.471,13,19,0.684,13,27,40,19,6,8,5,21,95,0
2005,Pistons,7,0,0,240,31,74,0.419,2,14,0.143,10,14,0.714,8,26,34,17,8,6,6,24,74,0
2006,Mavericks,1,1,1,240,32,72,0.444,6,18,0.333,20,26,0.769,7,36,43,18,9,3,14,18,90,0
2006,Mavericks,2,1,1,240,34,70,0.486,8,19,0.421,23,28,0.821,9,37,46,23,5,5,18,27,99,0
2006,Mavericks,3,0,0,240,36,75,0.48,6,16,0.375,18,26,0.692,7,27,34,15,9,2,15,29,96,0
2006,Mavericks,4,0,0,240,25,79,0.316,3,22,0.136,21,27,0.778,11,25,36,10,6,3,13,24,74,0
2006,Mavericks,5,0,0,265,37,81,0.457,5,19,0.263,21,25,0.84,11,31,42,13,3,0,14,38,100,0
2006,Mavericks,6,0,1,240,34,92,0.37,5,22,0.227,19,23,0.826,16,34,50,16,12,7,13,28,92,0
2007,Cavaliers,1,0,0,240,30,70,0.429,5,15,0.333,11,15,0.733,9,23,32,9,8,2,11,16,76,0
2007,Cavaliers,2,0,0,240,33,81,0.407,7,19,0.368,19,29,0.655,13,29,42,15,5,2,11,19,92,0
2007,Cavaliers,3,0,1,240,29,79,0.367,3,19,0.158,11,15,0.733,15,33,48,19,7,5,12,17,72,0
2007,Cavaliers,4,0,1,240,32,84,0.381,7,22,0.318,11,16,0.688,12,30,42,23,5,2,10,24,82,0
2008,Lakers,1,0,0,240,32,77,0.416,3,14,0.214,21,28,0.75,7,26,33,21,8,2,8,29,88,0
2008,Lakers,2,0,0,240,41,83,0.494,10,21,0.476,10,10,1.0,11,25,36,20,8,1,13,28,102,0
2008,Lakers,3,1,1,240,30,69,0.435,6,14,0.429,21,34,0.618,9,35,44,17,4,6,12,23,87,0
2008,Lakers,4,0,1,240,32,77,0.416,6,21,0.286,21,29,0.724,10,31,41,23,6,3,12,23,91,0
2008,Lakers,5,1,1,240,36,79,0.456,8,27,0.296,23,31,0.742,10,30,40,19,11,7,17,28,103,0
2008,Lakers,6,0,0,240,27,64,0.422,10,27,0.37,28,38,0.737,2,27,29,16,4,0,19,25,92,0
2009,Magic,1,0,0,240,23,77,0.299,8,23,0.348,21,29,0.724,10,31,41,10,8,8,8,21,75,0
2009,Magic,2,0,0,265,33,79,0.418,10,30,0.333,20,27,0.741,10,34,44,22,5,6,20,24,96,0
2009,Magic,3,1,1,240,40,64,0.625,5,14,0.357,23,30,0.767,5,24,29,23,7,3,13,21,108,0
2009,Magic,4,0,1,265,31,74,0.419,7,21,0.333,22,37,0.595,7,34,41,17,4,10,17,21,91,0
2009,Magic,5,0,1,240,34,82,0.415,8,27,0.296,10,16,0.625,6,30,36,20,6,3,12,23,86,0
2010,Celtics,1,0,0,240,29,67,0.433,1,10,0.1,30,36,0.833,8,23,31,19,5,5,13,28,89,0
2010,Celtics,2,1,0,240,36,84,0.429,11,16,0.688,20,26,0.769,13,31,44,28,6,3,13,29,103,0
2010,Celtics,3,0,1,240,32,73,0.438,4,18,0.222,16,24,0.667,8,27,35,20,4,2,10,27,84,0
2010,Celtics,4,1,1,240,37,83,0.446,3,12,0.25,19,23,0.826,16,25,41,15,12,2,12,21,96,0
2010,Celtics,5,1,1,240,40,71,0.563,3,12,0.25,9,13,0.692,7,28,35,21,8,7,16,23,92,0
2010,Celtics,6,0,0,240,28,84,0.333,5,23,0.217,6,10,0.6,11,28,39,17,8,4,14,21,67,0
2010,Celtics,7,0,0,240,29,71,0.408,6,16,0.375,15,17,0.882,8,32,40,18,6,7,14,25,79,0
2011,Heat,1,1,1,240,31,80,0.388,11,24,0.458,19,26,0.731,16,30,46,20,5,4,10,21,92,0
2011,Heat,2,0,1,240,34,73,0.466,9,30,0.3,16,24,0.667,6,24,30,13,15,6,12,17,93,0
2011,Heat,3,1,0,240,34,78,0.436,8,19,0.421,12,15,0.8,9,27,36,20,8,5,10,27,88,0
2011,Heat,4,0,0,240,32,75,0.427,2,14,0.143,17,24,0.708,15,29,44,19,8,5,13,23,83,0
2011,Heat,5,0,0,240,37,70,0.529,8,20,0.4,21,26,0.808,9,27,36,25,5,4,16,26,103,0
2011,Heat,6,0,1,240,34,72,0.472,7,23,0.304,20,33,0.606,9,30,39,20,7,3,16,14,95,0
2012,Thunder,1,1,1,240,40,77,0.519,5,17,0.294,20,27,0.741,10,33,43,22,5,3,10,16,105,0
2012,Thunder,2,0,1,240,34,79,0.43,9,26,0.346,19,26,0.731,10,26,36,14,9,9,10,22,96,0
2012,Thunder,3,0,0,240,33,77,0.429,4,18,0.222,15,24,0.625,11,27,38,11,9,8,11,25,85,0
2012,Thunder,4,0,0,240,40,82,0.488,3,16,0.188,15,16,0.938,8,27,35,13,6,2,11,20,98,0
2012,Thunder,5,0,0,240,36,87,0.414,11,28,0.393,23,26,0.885,10,28,38,19,7,3,13,29,106,0
2013,Spurs,1,1,0,240,35,84,0.417,7,23,0.304,15,18,0.833,6,31,37,16,6,5,4,12,92,0
2013,Spurs,2,0,0,240,32,78,0.41,10,20,0.5,10,14,0.714,15,29,44,16,3,4,16,14,84,0
2013,Spurs,3,1,1,240,43,88,0.489,16,32,0.5,11,19,0.579,19,33,52,29,10,4,12,13,113,0
2013,Spurs,4,0,1,240,31,70,0.443,8,16,0.5,23,31,0.742,5,31,36,21,5,4,18,18,93,0
2013,Spurs,5,1,1,240,42,70,0.6,9,22,0.409,21,26,0.808,5,31,36,21,5,8,18,21,114,0
2013,Spurs,6,0,0,265,37,85,0.435,5,18,0.278,21,28,0.75,12,33,45,13,8,2,13,21,100,0
2013,Spurs,7,0,0,240,31,82,0.378,6,19,0.316,20,22,0.909,12,31,43,13,12,3,14,19,88,0
2014,Heat,1,0,0,240,37,78,0.474,12,29,0.414,9,11,0.818,7,22,29,16,14,2,16,21,95,0
2014,Heat,2,1,0,240,37,70,0.529,8,19,0.421,16,21,0.762,5,33,38,16,6,3,13,20,98,0
2014,Heat,3,0,1,240,32,62,0.516,10,21,0.476,18,24,0.75,5,21,26,17,8,1,20,26,92,0
2014,Heat,4,0,1,240,32,71,0.451,9,22,0.409,13,20,0.65,6,21,27,13,7,1,13,25,86,0
2014,Heat,5,0,0,240,30,75,0.4,7,25,0.28,20,27,0.741,5,36,41,14,5,4,10,23,87,0
2015,Cavaliers,1,0,0,265,39,94,0.415,9,31,0.29,13,19,0.684,13,32,45,19,10,5,11,20,100,0
2015,Cavaliers,2,1,0,265,29,90,0.322,9,27,0.333,28,40,0.7,14,41,55,14,11,3,13,24,95,0
2015,Cavaliers,3,1,1,240,35,76,0.461,9,21,0.429,17,24,0.708,6,37,43,15,9,8,14,16,96,0
2015,Cavaliers,4,0,1,240,29,88,0.33,4,27,0.148,20,28,0.714,16,33,49,16,2,3,9,19,82,0
2015,Cavaliers,5,0,0,240,32,81,0.395,12,35,0.343,15,21,0.714,10,27,37,17,10,4,10,28,91,0
2015,Cavaliers,6,0,1,240,32,82,0.39,6,26,0.231,27,39,0.692,16,40,56,14,3,7,16,26,97,0
2016,Warriors,1,1,1,240,43,87,0.494,9,27,0.333,9,10,0.9,9,32,41,29,9,4,9,16,104,0
2016,Warriors,2,1,1,240,44,81,0.543,15,33,0.455,7,10,0.7,12,34,46,26,7,9,20,20,110,0
2016,Warriors,3,0,0,240,32,76,0.421,9,33,0.273,17,26,0.654,8,24,32,21,5,4,18,23,90,0
2016,Warriors,4,1,0,240,33,81,0.407,17,36,0.472,25,31,0.806,14,29,43,23,7,6,8,22,108,0
2016,Warriors,5,0,1,240,32,88,0.364,14,43,0.326,19,26,0.731,13,30,43,18,6,9,17,21,97,0
2016,Warriors,6,0,0,240,33,82,0.402,15,39,0.385,20,29,0.69,9,26,35,19,5,3,14,25,101,0
2016,Warriors,7,0,1,240,32,83,0.386,15,41,0.366,10,13,0.769,7,32,39,22,7,5,10,23,89,0
2017,Cavaliers,1,0,0,240,30,86,0.349,11,31,0.355,20,25,0.8,15,44,59,15,0,6,20,23,91,0
2017,Cavaliers,2,0,0,240,45,100,0.45,8,29,0.276,15,19,0.789,10,31,41,27,15,1,9,18,113,0
2017,Cavaliers,3,0,1,240,40,90,0.444,12,44,0.273,21,25,0.84,10,27,37,17,9,3,12,25,113,0
2017,Cavaliers,4,1,1,240,46,87,0.529,24,45,0.533,21,31,0.677,11,30,41,27,6,3,11,24,137,0
2017,Cavaliers,5,0,0,240,47,88,0.534,11,24,0.458,15,23,0.652,12,28,40,22,6,5,14,22,120,0
2018,Cavaliers,1,0,0,265,44,99,0.444,10,37,0.27,16,22,0.727,19,34,53,18,5,3,11,18,114,0
2018,Cavaliers,2,0,0,240,37,90,0.411,9,27,0.333,20,26,0.769,16,26,42,25,9,4,10,15,103,0
2018,Cavaliers,3,0,1,240,40,92,0.435,9,31,0.29,13,17,0.765,15,32,47,20,6,4,13,18,102,0
2018,Cavaliers,4,0,1,240,30,87,0.345,8,27,0.296,17,25,0.68,17,27,44,21,5,5,11,22,85,0
